,0
id,int64
minimum_nights,int64
availability_30,int64
availability_60,int64
availability_90,int64
availability_365,int64
price,object
has_availability,object
instant_bookable,object
host_id,int64
host_total_listings_count,float64
calculated_host_listings_count,int64
calculated_host_listings_count_entire_homes,int64
calculated_host_listings_count_private_rooms,int64
calculated_host_listings_count_shared_rooms,int64
host_name,object
host_since,object
host_acceptance_rate,object
host_response_time,object
host_is_superhost,object
host_neighbourhood,object
host_verifications,object
host_has_profile_pic,object
host_identity_verified,object
license,object
neighbourhood,object
neighbourhood_cleansed,object
review_scores_rating,float64
review_scores_accuracy,float64
review_scores_cleanliness,float64
review_scores_checkin,float64
review_scores_communication,float64
review_scores_location,float64
review_scores_value,float64
reviews_per_month,float64
number_of_reviews,int64
number_of_reviews_ltm,int64
number_of_reviews_l30d,int64
first_review,object
last_review,object
bedrooms,float64
beds,float64
accommodates,int64
name,object
property_type,object
room_type,object
bathrooms_text,object
amenities,object
date,object
has_availability_2,int64
host_has_profile_pic_2,float64
host_is_superhost_2,float64
host_identity_verified_2,float64
